invoice_month,account_id,subscription,service,resource_group,resource_id,region,usage_qty,unit_cost,cost
2025-08,acct-8255,sub-45,Compute,rg-place,res-2bf09d44,ukwest,308.8461,4.9851,1539.6287
2025-06,acct-3349,sub-22,AI,rg-able,res-8837b4c9,westus,209.5174,0.5674,118.8802
2025-08,acct-6306,sub-28,DB,rg-per,res-a6ed056b,eastus,364.8018,4.3056,1570.6906
2025-08,acct-8617,sub-32,Networking,rg-tree,res-1d8e9654,centralus,85.9323,1.5635,134.3552
2025-05,acct-7671,sub-6,Storage,rg-wife,res-fca90f1b,eastus,342.5121,0.7182,245.9922
2025-06,acct-7803,sub-22,DB,rg-indeed,res-c7489939,indiawest,382.0057,1.2805,489.1583
2025-08,acct-8482,sub-11,DB,rg-fear,res-ba7a142e,centralus,44.7213,3.6954,165.2631
2025-06,acct-6305,sub-40,DB,rg-wind,res-059653d7,centralus,221.5669,2.6254,581.7017
2025-08,acct-2146,sub-41,DB,rg-great,res-9da40e75,westus,465.9801,3.9865,1857.6297
2025-08,acct-5067,sub-4,DB,rg-close,res-a5daf429,eastus,346.6664,2.8394,984.3246
2025-07,acct-3761,sub-9,Networking,rg-author,res-f2ebfe26,eastus,147.8614,2.1958,324.6741
2025-06,acct-5978,sub-9,DB,rg-between,res-c12da015,ukwest,281.7096,0.7966,224.4099
2025-08,acct-9109,sub-32,AI,rg-evidence,res-1b68d2c2,centralus,137.8037,1.0997,151.5427
2025-08,acct-1765,sub-9,AI,rg-wonder,res-a08da585,westus,28.7008,0.1277,3.6651
2025-05,acct-7233,sub-27,AI,rg-skin,res-80cc1315,centralus,232.83,4.3525,1013.3926
2025-07,acct-5755,sub-43,Storage,rg-magazine,res-cf127ea6,ukwest,475.3924,1.8454,877.2891
2025-07,acct-8488,sub-23,Compute,rg-maybe,res-92d0dfa3,eastus,281.2165,3.9017,1097.2224
2025-08,acct-5609,sub-17,Networking,rg-officer,res-2378040f,westus,259.2614,3.9966,1036.1641
2025-07,acct-6087,sub-48,Storage,rg-answer,res-ca8a082d,eastus,385.5786,0.061,23.5203
2025-07,acct-4159,sub-6,Compute,rg-whom,res-8e5781d6,ukwest,246.2054,3.9199,965.1005
2025-05,acct-1140,sub-19,Networking,rg-really,res-b0540786,centralus,422.7852,3.6531,1544.4766
2025-06,acct-6725,sub-1,Compute,rg-contain,res-cd12c4f4,centralus,352.6076,4.4243,1560.0418
2025-09,acct-6642,sub-45,Compute,rg-include,res-7d6f8336,eastus,158.1321,3.9806,629.4606
2025-08,acct-3560,sub-32,Storage,rg-return,res-b16caaa8,eastus,188.5273,1.3563,255.6996
2025-07,acct-9895,sub-5,AI,rg-throughout,res-dd1f9b7c,eastus,167.1711,1.3522,226.0488
2025-09,acct-7414,sub-19,Storage,rg-some,res-dbd1fd10,centralus,178.1144,1.1187,199.2566
2025-08,acct-1429,sub-18,Networking,rg-more,res-97dde414,ukwest,236.9161,3.2201,762.8935
2025-06,acct-5798,sub-5,AI,rg-where,res-07d452f4,ukwest,220.8298,0.3736,82.502
2025-09,acct-5439,sub-3,Networking,rg-week,res-175c4e05,westus,386.9796,4.5627,1765.6718
2025-07,acct-7807,sub-39,DB,rg-paper,res-cf74b686,westus,418.0663,4.066,1699.8576
2025-08,acct-5926,sub-44,AI,rg-contain,res-6c9251c6,indiawest,241.9385,1.6031,387.8516
2025-06,acct-4791,sub-30,Compute,rg-evidence,res-494329d7,westus,244.3812,1.2078,295.1636
2025-07,acct-2089,sub-36,AI,rg-cup,res-12f68a40,centralus,379.8067,0.9988,379.3509
2025-08,acct-9551,sub-4,AI,rg-believe,res-6b2d534d,ukwest,183.9176,4.3107,792.8136
2025-06,acct-3746,sub-36,Networking,rg-have,res-bc56b43d,centralus,282.4567,2.8758,812.289
2025-08,acct-8968,sub-23,AI,rg-over,res-6bae0a41,eastus,21.2646,2.508,53.3316
2025-06,acct-8604,sub-35,Networking,rg-religious,res-ae930cae,centralus,136.3342,3.9903,544.0144
2025-07,acct-2754,sub-13,Storage,rg-also,res-dddd629e,ukwest,128.0464,1.1562,148.0472
2025-09,acct-3015,sub-8,Networking,rg-must,res-5f258eb4,indiawest,74.6386,3.5255,263.1384
2025-09,acct-7310,sub-48,AI,rg-add,res-b1811f77,eastus,308.113,4.5147,1391.0378
2025-08,acct-3582,sub-13,Compute,rg-including,res-1d6ac68e,indiawest,99.8372,3.4769,347.124
2025-07,acct-8052,sub-14,DB,rg-lead,res-342389ec,indiawest,319.1481,2.6879,857.8382
2025-09,acct-1615,sub-21,Networking,rg-discuss,res-df354cf8,westus,295.1197,2.1639,638.6095
2025-06,acct-1865,sub-25,Networking,rg-bad,res-0eea524d,indiawest,157.9469,0.4863,76.8096
2025-07,acct-3112,sub-3,Compute,rg-management,res-86e0c438,eastus,1.2126,2.4793,3.0064
2025-07,acct-1856,sub-25,DB,rg-of,res-0864f9fb,eastus,367.6569,1.6756,616.0459
2025-08,acct-7690,sub-18,Compute,rg-movie,res-c26d0818,westus,132.0669,0.4465,58.9679
2025-08,acct-7992,sub-39,DB,rg-finish,res-2bdba723,ukwest,257.5882,3.4337,884.4806
2025-06,acct-5211,sub-1,Compute,rg-participant,res-6edb641d,westus,187.1112,3.1639,592.0011
2025-06,acct-4548,sub-3,DB,rg-guy,res-df354cf8,westus,471.3865,2.5011,1178.9848
2025-07,acct-9961,sub-45,Networking,rg-lead,res-1bc46e0c,ukwest,44.4879,2.9706,132.1558
2025-06,acct-6468,sub-6,AI,rg-such,res-a0e7d396,eastus,498.3898,1.3168,656.2797
2025-08,acct-8083,sub-21,Storage,rg-brother,res-17942ad2,ukwest,180.8125,0.1206,21.806
2025-09,acct-8346,sub-39,AI,rg-consider,res-6c9251c6,ukwest,488.4371,4.3633,2131.1976
2025-08,acct-6402,sub-6,Networking,rg-need,res-2dba1660,ukwest,455.2708,3.0709,1398.0911
2025-08,acct-4289,sub-3,AI,rg-either,res-a9da2cb2,ukwest,211.2571,3.9586,836.2824
2025-05,acct-9372,sub-18,AI,rg-long,res-64a7bc43,eastus,93.8678,3.1145,292.3513
2025-06,acct-5115,sub-19,DB,rg-century,res-a4b4ca98,eastus,374.3374,0.1286,48.1398
2025-07,acct-8340,sub-1,AI,rg-upon,res-409d925a,indiawest,105.9828,3.7636,398.8769
2025-07,acct-3119,sub-26,Storage,rg-situation,res-644ad10d,eastus,424.4829,0.9577,406.5273
2025-07,acct-8720,sub-6,AI,rg-about,res-d63997a8,westus,2.0904,4.5056,9.4185
2025-08,acct-8747,sub-6,DB,rg-market,res-6acc0640,centralus,381.8703,4.3809,1672.9356
2025-06,acct-6662,sub-28,Networking,rg-tonight,res-e3574e70,indiawest,486.4583,3.7522,1825.2888
2025-06,acct-3648,sub-26,DB,rg-bit,res-d9f84233,westus,494.1851,0.1671,82.5783
2025-06,acct-5525,sub-36,AI,rg-business,res-d6549bd1,centralus,381.1892,1.8717,713.4718
2025-08,acct-5827,sub-37,Storage,rg-may,res-92d0dfa3,indiawest,175.6921,3.7434,657.6858
2025-07,acct-2662,sub-33,Compute,rg-before,res-0e561664,indiawest,43.1734,1.4717,63.5383
2025-06,acct-9025,sub-34,Compute,rg-while,res-64a7bc43,eastus,207.1206,3.3992,704.0443
2025-08,acct-9096,sub-22,AI,rg-identify,res-88e52065,centralus,41.4471,0.419,17.3663
2025-06,acct-7041,sub-41,Compute,rg-skin,res-0809487c,ukwest,13.3966,0.7987,10.6999
2025-07,acct-2073,sub-24,AI,rg-whole,res-93e5573e,centralus,61.4797,2.172,133.5339
2025-07,acct-9773,sub-5,Storage,rg-that,res-6ffe9f86,westus,223.3986,3.0849,689.1623
2025-07,acct-3866,sub-7,DB,rg-factor,res-55cc5103,indiawest,477.5656,4.9792,2377.8946
2025-06,acct-2770,sub-24,Compute,rg-firm,res-48f7679b,indiawest,8.1316,3.1282,25.4373
2025-07,acct-1706,sub-49,Networking,rg-support,res-4652205d,centralus,292.9175,1.8147,531.5574
2025-08,acct-9748,sub-42,Compute,rg-dark,res-dac3ca76,ukwest,100.9217,3.1049,313.3518
2025-06,acct-6243,sub-10,AI,rg-fall,res-cbfa70dc,indiawest,25.4215,0.3063,7.7866
2025-09,acct-8763,sub-15,DB,rg-energy,res-031f47d3,ukwest,59.2473,0.1319,7.8147
2025-06,acct-7517,sub-49,Networking,rg-with,res-549356d6,indiawest,400.7598,0.354,141.869
2025-06,acct-7658,sub-46,DB,rg-race,res-14e435c2,eastus,175.4289,3.9863,699.3122
2025-07,acct-5945,sub-25,AI,rg-able,res-4ca7196e,westus,332.2411,3.59,1192.7455
2025-08,acct-6278,sub-27,Storage,rg-enjoy,res-9734c06f,ukwest,291.2985,4.5473,1324.6217
2025-08,acct-6463,sub-22,DB,rg-government,res-30a6e669,indiawest,171.6938,4.3425,745.5803
2025-07,acct-1638,sub-6,Storage,rg-Democrat,res-be15de7f,eastus,34.1112,1.3774,46.9848
2025-07,acct-3805,sub-23,AI,rg-word,res-342389ec,ukwest,487.8481,0.7974,389.0101
2025-07,acct-3771,sub-50,Storage,rg-speech,res-f7ad5a60,eastus,195.3977,1.2673,247.6275
2025-07,acct-1088,sub-47,AI,rg-firm,res-9ec238d8,centralus,490.2631,3.9366,1929.9697
2025-09,acct-4295,sub-13,Storage,rg-ready,res-822fe7a8,indiawest,20.8017,4.0369,83.9744
2025-08,acct-4708,sub-39,Compute,rg-usually,res-027aafe8,ukwest,378.605,0.4387,166.094
2025-06,acct-7935,sub-43,Storage,rg-skill,res-494329d7,centralus,213.651,0.0904,19.3141
2025-06,acct-6788,sub-44,DB,rg-country,res-9da40e75,ukwest,409.2883,3.943,1613.8238
2025-08,acct-4188,sub-4,Networking,rg-foot,res-3f5a3f74,centralus,62.7731,1.4017,87.9891
2025-08,acct-1529,sub-39,Storage,rg-about,res-84acb67e,eastus,479.9804,2.5609,1229.1818
2025-09,acct-8858,sub-32,Networking,rg-theory,res-84df0404,centralus,118.3424,3.9501,467.4643
2025-07,acct-3719,sub-13,AI,rg-laugh,res-084b2352,centralus,278.0558,1.6664,463.3522
2025-07,acct-4976,sub-47,Storage,rg-myself,res-92d0dfa3,ukwest,179.1483,1.8723,335.4194
2025-08,acct-4076,sub-25,Networking,rg-visit,res-f80b3651,westus,107.8905,1.2176,131.3675
2025-08,acct-9880,sub-41,Storage,rg-himself,res-6edb641d,ukwest,275.1283,3.1591,869.1578
2025-07,acct-2922,sub-43,Networking,rg-per,res-b71ee703,ukwest,174.3037,2.2903,399.2078
2025-07,acct-6125,sub-45,DB,rg-whom,res-6eebb2d3,ukwest,327.0122,1.0097,330.1842
2025-07,acct-9819,sub-30,Storage,rg-commercial,res-4f88440d,westus,284.112,0.5119,145.4369
2025-08,acct-5158,sub-19,Networking,rg-employee,res-aaa8ca59,indiawest,202.5821,4.1003,830.6474
2025-08,acct-7480,sub-19,Networking,rg-book,res-a08da585,indiawest,96.8631,1.7658,171.0409
2025-08,acct-5540,sub-48,Compute,rg-small,res-1e4f416a,eastus,194.0408,2.1561,418.3714
2025-08,acct-3772,sub-31,AI,rg-politics,res-f8db96a7,indiawest,191.3884,2.6506,507.2941
2025-06,acct-7033,sub-10,Storage,rg-option,res-2c8402d5,indiawest,174.9271,1.7863,312.4723
2025-06,acct-6470,sub-38,DB,rg-company,res-570067f7,centralus,350.3582,1.1603,406.5206
2025-07,acct-9691,sub-19,DB,rg-level,res-2102c330,indiawest,152.8501,1.9821,302.9642
2025-07,acct-3712,sub-36,AI,rg-bag,res-d026d58f,eastus,9.6025,1.1222,10.7759
2025-08,acct-5339,sub-2,AI,rg-style,res-97b22b0e,centralus,455.2217,3.1546,1436.0424
2025-07,acct-8039,sub-16,DB,rg-role,res-bc85dd74,eastus,137.4361,0.0565,7.7651
2025-06,acct-3920,sub-7,AI,rg-evidence,res-5eff7a43,centralus,337.8406,2.5818,872.2369
2025-07,acct-5200,sub-32,DB,rg-pick,res-97dde414,centralus,290.1005,1.2476,361.9294
